transcript_id	gene_id	0	10	18	24	30	40	48	56	64	72
NM_001110249.1	LOC100126188	0.00	0.00	0.00	0.0	0.00	1.06	4.07	2.83	2.09	2.39
XM_003728338.3	LOC100144872	1.21	5.81	9.05	7.11	11.46	4.90	2.71	1.41	6.34	5.77
XM_003728339.3	LOC100144872	0.63	3.53	2.47	0.935	4.09	1.87	2.62	1.84	4.44	3.99
XM_030995983.1	LOC100144872	25.49	2.66	0.25	0.785	0.37	4.32	1.25	2.36	0.00	0.23
XM_030995984.1	LOC100144872	8.73	3.17	0.41	1.705	1.21	0.99	1.28	1.59	0.43	1.20
XR_004066093.1	LOC100144872	16.68	27.23	5.41	2.5700000000000003	4.66	1.33	1.26	1.04	3.12	1.64
XM_011678106.2	LOC100144873	0.00	0.28	0.44	0.09	0.13	0.00	0.11	0.00	0.05	0.00
NM_001128068.1	LOC100147806	0.44	0.11	0.05	0.05	0.15	0.12	0.18	0.11	0.87	1.92
XM_030981508.1	LOC100887827	0.14	0.00	0.16	0.015	0.32	0.62	0.26	0.62	0.66	0.68
XM_030979048.1	LOC100887831	0.00	0.00	0.00	0.0	0.00	0.00	0.00	0.00	0.00	0.00
XM_030974716.1	LOC100887833	0.76	2.69	1.03	0.45	5.66	16.42	18.52	15.91	19.48	12.40
XM_003724520.3	LOC100887834	3.85	5.36	3.29	6.27	4.45	3.67	2.79	2.54	4.07	3.42
XM_030986350.1	LOC100887834	0.00	0.00	0.14	0.0	0.00	0.00	0.00	0.00	0.00	0.00
XR_004062667.1	LOC100887835	0.00	0.00	0.00	0.0	0.00	0.00	0.00	0.00	0.00	0.00
XM_030976252.1	LOC100887836	0.61	0.96	1.87	1.425	3.97	3.34	2.74	2.45	5.50	6.55
XM_030976253.1	LOC100887836	5.49	7.01	7.72	8.8	7.96	7.76	7.98	5.39	12.86	11.16
XM_030976254.1	LOC100887836	0.00	0.00	1.73	0.575	0.00	0.00	0.00	0.00	0.94	0.81
XM_003726170.1	LOC100887838	0.00	0.13	0.00	0.425	0.00	0.15	0.08	0.00	0.00	0.00
XM_003727329.3	LOC100887840	3.04	2.37	1.36	2.63	4.26	7.76	14.43	10.00	22.55	19.36
